Hotel Adı,Tarih,Fiyat
Address Istanbul,20-03-2025,170
Address Istanbul,21-03-2025,170
Address Istanbul,22-03-2025,170
Address Istanbul,23-03-2025,170
Address Istanbul,24-03-2025,170
Address Istanbul,25-03-2025,170
Address Istanbul,26-03-2025,170
Address Istanbul,27-03-2025,170
Address Istanbul,28-03-2025,170
Address Istanbul,29-03-2025,170
Address Istanbul,30-03-2025,202
Address Istanbul,31-03-2025,250
Address Istanbul,01-04-2025,248
Address Istanbul,02-04-2025,197
Address Istanbul,03-04-2025,232
Address Istanbul,04-04-2025,222
Address Istanbul,05-04-2025,202
Address Istanbul,06-04-2025,202
Address Istanbul,07-04-2025,202
Address Istanbul,08-04-2025,202
Address Istanbul,09-04-2025,202
Address Istanbul,10-04-2025,202
Address Istanbul,11-04-2025,202
Address Istanbul,12-04-2025,202
Address Istanbul,13-04-2025,202
Address Istanbul,14-04-2025,202
Address Istanbul,15-04-2025,202
Address Istanbul,16-04-2025,202
Address Istanbul,17-04-2025,202
Address Istanbul,18-04-2025,202
Address Istanbul,19-04-2025,202
Address Istanbul,20-04-2025,202
Address Istanbul,21-04-2025,202
Address Istanbul,22-04-2025,202
Address Istanbul,23-04-2025,202
Address Istanbul,24-04-2025,202
Address Istanbul,25-04-2025,202
Address Istanbul,26-04-2025,202
Address Istanbul,27-04-2025,202
Address Istanbul,28-04-2025,202
Address Istanbul,29-04-2025,202
Address Istanbul,30-04-2025,202
