Tarih,Otel Adı,Oda Tipi,Board Type,İptal Poliçesi,Fiyat,Para Birimi,Müsaitlik,Milliyet
2025-05-01,Address Istanbul,Double Deluxe City View,Room Only,Non-refundable,151.66,EUR,Available,TN
2025-05-02,Address Istanbul,Double Deluxe City View,Room Only,Non-refundable,151.66,EUR,Available,TN
2025-05-03,Address Istanbul,Double Deluxe City View,Room Only,Non-refundable,151.66,EUR,Available,TN
2025-05-04,Address Istanbul,Double Deluxe City View,Room Only,Non-refundable,151.66,EUR,Available,TN
2025-05-05,Address Istanbul,Double Deluxe City View,Room Only,Non-refundable,151.66,EUR,Available,TN
2025-05-06,Address Istanbul,Double Deluxe City View,Room Only,Non-refundable,151.66,EUR,Available,TN
2025-05-07,Address Istanbul,Double Deluxe City View,Room Only,Non-refundable,151.66,EUR,Available,TN
2025-05-01,Address Istanbul,DOUBLE DELUXE ROOM,Room Only,Refundable,152.64,EUR,Available,TN
2025-05-02,Address Istanbul,DOUBLE DELUXE ROOM,Room Only,Refundable,152.64,EUR,Available,TN
2025-05-03,Address Istanbul,DOUBLE DELUXE ROOM,Room Only,Refundable,152.64,EUR,Available,TN
2025-05-04,Address Istanbul,DOUBLE DELUXE ROOM,Room Only,Refundable,152.64,EUR,Available,TN
2025-05-05,Address Istanbul,DOUBLE DELUXE ROOM,Room Only,Refundable,152.64,EUR,Available,TN
2025-05-06,Address Istanbul,DOUBLE DELUXE ROOM,Room Only,Refundable,152.64,EUR,Available,TN
2025-05-07,Address Istanbul,DOUBLE DELUXE ROOM,Room Only,Refundable,152.64,EUR,Available,TN
2025-05-01,Address Istanbul,double king bed deluxe city view,Bed&Breakfast (Non-Alcoholic),Refundable,169.24,EUR,Available,TN
2025-05-02,Address Istanbul,double king bed deluxe city view,Bed&Breakfast (Non-Alcoholic),Refundable,169.24,EUR,Available,TN
2025-05-03,Address Istanbul,double king bed deluxe city view,Bed&Breakfast (Non-Alcoholic),Refundable,169.24,EUR,Available,TN
2025-05-04,Address Istanbul,double king bed deluxe city view,Bed&Breakfast (Non-Alcoholic),Refundable,169.24,EUR,Available,TN
2025-05-05,Address Istanbul,double king bed deluxe city view,Bed&Breakfast (Non-Alcoholic),Refundable,169.24,EUR,Available,TN
2025-05-06,Address Istanbul,double king bed deluxe city view,Bed&Breakfast (Non-Alcoholic),Refundable,169.24,EUR,Available,TN
2025-05-07,Address Istanbul,double king bed deluxe city view,Bed&Breakfast (Non-Alcoholic),Refundable,169.24,EUR,Available,TN
2025-05-01,Address Istanbul,double king bed deluxe city view,Bed&Breakfast (Non-Alcoholic),Non-refundable,170.75,EUR,Available,TN
2025-05-02,Address Istanbul,double king bed deluxe city view,Bed&Breakfast (Non-Alcoholic),Non-refundable,170.75,EUR,Available,TN
2025-05-03,Address Istanbul,double king bed deluxe city view,Bed&Breakfast (Non-Alcoholic),Non-refundable,170.75,EUR,Available,TN
2025-05-04,Address Istanbul,double king bed deluxe city view,Bed&Breakfast (Non-Alcoholic),Non-refundable,170.75,EUR,Available,TN
2025-05-05,Address Istanbul,double king bed deluxe city view,Bed&Breakfast (Non-Alcoholic),Non-refundable,170.75,EUR,Available,TN
2025-05-06,Address Istanbul,double king bed deluxe city view,Bed&Breakfast (Non-Alcoholic),Non-refundable,170.75,EUR,Available,TN
2025-05-07,Address Istanbul,double king bed deluxe city view,Bed&Breakfast (Non-Alcoholic),Non-refundable,170.75,EUR,Available,TN
2025-05-01,Address Istanbul,DOUBLE DELUXE ROOM,Bed&Breakfast,Refundable,173.68,EUR,Available,TN
2025-05-02,Address Istanbul,DOUBLE DELUXE ROOM,Bed&Breakfast,Refundable,173.68,EUR,Available,TN
2025-05-03,Address Istanbul,DOUBLE DELUXE ROOM,Bed&Breakfast,Refundable,173.68,EUR,Available,TN
2025-05-04,Address Istanbul,DOUBLE DELUXE ROOM,Bed&Breakfast,Refundable,173.68,EUR,Available,TN
2025-05-05,Address Istanbul,DOUBLE DELUXE ROOM,Bed&Breakfast,Refundable,173.68,EUR,Available,TN
2025-05-06,Address Istanbul,DOUBLE DELUXE ROOM,Bed&Breakfast,Refundable,173.68,EUR,Available,TN
2025-05-07,Address Istanbul,DOUBLE DELUXE ROOM,Bed&Breakfast,Refundable,173.68,EUR,Available,TN
2025-05-01,Address Istanbul,Deluxe City View ,Bed&Breakfast,Non-refundable,178.27,EUR,Available,TN
2025-05-02,Address Istanbul,Deluxe City View ,Bed&Breakfast,Non-refundable,178.27,EUR,Available,TN
2025-05-03,Address Istanbul,Deluxe City View ,Bed&Breakfast,Non-refundable,178.27,EUR,Available,TN
2025-05-04,Address Istanbul,Deluxe City View ,Bed&Breakfast,Non-refundable,178.27,EUR,Available,TN
2025-05-05,Address Istanbul,Deluxe City View ,Bed&Breakfast,Non-refundable,178.27,EUR,Available,TN
2025-05-06,Address Istanbul,Deluxe City View ,Bed&Breakfast,Non-refundable,178.27,EUR,Available,TN
2025-05-07,Address Istanbul,Deluxe City View ,Bed&Breakfast,Non-refundable,178.27,EUR,Available,TN
2025-05-01,Address Istanbul,Premier City View*,Sólo Alojamiento,Refundable,197.82,EUR,Available,TN
2025-05-02,Address Istanbul,Premier City View*,Sólo Alojamiento,Refundable,197.82,EUR,Available,TN
2025-05-03,Address Istanbul,Premier City View*,Sólo Alojamiento,Refundable,197.82,EUR,Available,TN
2025-05-04,Address Istanbul,Premier City View*,Sólo Alojamiento,Refundable,197.82,EUR,Available,TN
2025-05-05,Address Istanbul,Premier City View*,Sólo Alojamiento,Refundable,197.82,EUR,Available,TN
2025-05-06,Address Istanbul,Premier City View*,Sólo Alojamiento,Refundable,197.82,EUR,Available,TN
2025-05-07,Address Istanbul,Premier City View*,Sólo Alojamiento,Refundable,197.82,EUR,Available,TN
2025-05-01,Address Istanbul,deluxe city view king,Bed and Breakfast,Non-refundable,199.28,EUR,Available,TN
2025-05-02,Address Istanbul,deluxe city view king,Bed and Breakfast,Non-refundable,199.28,EUR,Available,TN
2025-05-03,Address Istanbul,deluxe city view king,Bed and Breakfast,Non-refundable,199.28,EUR,Available,TN
2025-05-04,Address Istanbul,deluxe city view king,Bed and Breakfast,Non-refundable,199.28,EUR,Available,TN
2025-05-05,Address Istanbul,deluxe city view king,Bed and Breakfast,Non-refundable,199.28,EUR,Available,TN
2025-05-06,Address Istanbul,deluxe city view king,Bed and Breakfast,Non-refundable,199.28,EUR,Available,TN
2025-05-07,Address Istanbul,deluxe city view king,Bed and Breakfast,Non-refundable,199.28,EUR,Available,TN
2025-05-01,Address Istanbul,Premier City View*,Bed and Breakfast,Refundable,200.16,EUR,Available,TN
2025-05-02,Address Istanbul,Premier City View*,Bed and Breakfast,Refundable,200.16,EUR,Available,TN
2025-05-03,Address Istanbul,Premier City View*,Bed and Breakfast,Refundable,200.16,EUR,Available,TN
2025-05-04,Address Istanbul,Premier City View*,Bed and Breakfast,Refundable,200.16,EUR,Available,TN
2025-05-05,Address Istanbul,Premier City View*,Bed and Breakfast,Refundable,200.16,EUR,Available,TN
2025-05-06,Address Istanbul,Premier City View*,Bed and Breakfast,Refundable,200.16,EUR,Available,TN
2025-05-07,Address Istanbul,Premier City View*,Bed and Breakfast,Refundable,200.16,EUR,Available,TN
2025-05-01,Address Istanbul,Premier City View*,Breakfast,Refundable,222.66,EUR,Available,TN
2025-05-02,Address Istanbul,Premier City View*,Breakfast,Refundable,222.66,EUR,Available,TN
2025-05-03,Address Istanbul,Premier City View*,Breakfast,Refundable,222.66,EUR,Available,TN
2025-05-04,Address Istanbul,Premier City View*,Breakfast,Refundable,222.66,EUR,Available,TN
2025-05-05,Address Istanbul,Premier City View*,Breakfast,Refundable,222.66,EUR,Available,TN
2025-05-06,Address Istanbul,Premier City View*,Breakfast,Refundable,222.66,EUR,Available,TN
2025-05-07,Address Istanbul,Premier City View*,Breakfast,Refundable,222.66,EUR,Available,TN
2025-05-01,Address Istanbul,Premier City View*,Alojamiento y Desayuno,Refundable,230.65,EUR,Available,TN
2025-05-02,Address Istanbul,Premier City View*,Alojamiento y Desayuno,Refundable,230.65,EUR,Available,TN
2025-05-03,Address Istanbul,Premier City View*,Alojamiento y Desayuno,Refundable,230.65,EUR,Available,TN
2025-05-04,Address Istanbul,Premier City View*,Alojamiento y Desayuno,Refundable,230.65,EUR,Available,TN
2025-05-05,Address Istanbul,Premier City View*,Alojamiento y Desayuno,Refundable,230.65,EUR,Available,TN
2025-05-06,Address Istanbul,Premier City View*,Alojamiento y Desayuno,Refundable,230.65,EUR,Available,TN
2025-05-07,Address Istanbul,Premier City View*,Alojamiento y Desayuno,Refundable,230.65,EUR,Available,TN
2025-05-01,Address Istanbul,"Deluxe City View King,1 King Bed,Nonsmoking",Breakfast included,Non-refundable,239.18,EUR,Available,TN
2025-05-02,Address Istanbul,"Deluxe City View King,1 King Bed,Nonsmoking",Breakfast included,Non-refundable,239.18,EUR,Available,TN
2025-05-03,Address Istanbul,"Deluxe City View King,1 King Bed,Nonsmoking",Breakfast included,Non-refundable,239.18,EUR,Available,TN
2025-05-04,Address Istanbul,"Deluxe City View King,1 King Bed,Nonsmoking",Breakfast included,Non-refundable,239.18,EUR,Available,TN
2025-05-05,Address Istanbul,"Deluxe City View King,1 King Bed,Nonsmoking",Breakfast included,Non-refundable,239.18,EUR,Available,TN
2025-05-06,Address Istanbul,"Deluxe City View King,1 King Bed,Nonsmoking",Breakfast included,Non-refundable,239.18,EUR,Available,TN
2025-05-07,Address Istanbul,"Deluxe City View King,1 King Bed,Nonsmoking",Breakfast included,Non-refundable,239.18,EUR,Available,TN
2025-05-01,Address Istanbul,Deluxe City View King Room (Double) DY,Bed & Breakfast,Refundable,241.19,EUR,Available,TN
2025-05-02,Address Istanbul,Deluxe City View King Room (Double) DY,Bed & Breakfast,Refundable,241.19,EUR,Available,TN
2025-05-03,Address Istanbul,Deluxe City View King Room (Double) DY,Bed & Breakfast,Refundable,241.19,EUR,Available,TN
2025-05-04,Address Istanbul,Deluxe City View King Room (Double) DY,Bed & Breakfast,Refundable,241.19,EUR,Available,TN
2025-05-05,Address Istanbul,Deluxe City View King Room (Double) DY,Bed & Breakfast,Refundable,241.19,EUR,Available,TN
2025-05-06,Address Istanbul,Deluxe City View King Room (Double) DY,Bed & Breakfast,Refundable,241.19,EUR,Available,TN
2025-05-07,Address Istanbul,Deluxe City View King Room (Double) DY,Bed & Breakfast,Refundable,241.19,EUR,Available,TN
2025-05-01,Address Istanbul,Premier Suite,Breakfast,Non-refundable,661.48,EUR,Available,TN
2025-05-02,Address Istanbul,Premier Suite,Breakfast,Non-refundable,661.48,EUR,Available,TN
2025-05-03,Address Istanbul,Premier Suite,Breakfast,Non-refundable,661.48,EUR,Available,TN
2025-05-04,Address Istanbul,Premier Suite,Breakfast,Non-refundable,661.48,EUR,Available,TN
2025-05-05,Address Istanbul,Premier Suite,Breakfast,Non-refundable,661.48,EUR,Available,TN
2025-05-06,Address Istanbul,Premier Suite,Breakfast,Non-refundable,661.48,EUR,Available,TN
2025-05-07,Address Istanbul,Premier Suite,Breakfast,Non-refundable,661.48,EUR,Available,TN
2025-05-08,Address Istanbul,Double Deluxe City View,Room Only,Non-refundable,150.15,EUR,Available,TN
2025-05-09,Address Istanbul,Double Deluxe City View,Room Only,Non-refundable,150.15,EUR,Available,TN
2025-05-10,Address Istanbul,Double Deluxe City View,Room Only,Non-refundable,150.15,EUR,Available,TN
2025-05-11,Address Istanbul,Double Deluxe City View,Room Only,Non-refundable,150.15,EUR,Available,TN
2025-05-12,Address Istanbul,Double Deluxe City View,Room Only,Non-refundable,150.15,EUR,Available,TN
2025-05-13,Address Istanbul,Double Deluxe City View,Room Only,Non-refundable,150.15,EUR,Available,TN
2025-05-14,Address Istanbul,Double Deluxe City View,Room Only,Non-refundable,150.15,EUR,Available,TN
2025-05-08,Address Istanbul,DOUBLE DELUXE ROOM,Room Only,Refundable,152.64,EUR,Available,TN
2025-05-09,Address Istanbul,DOUBLE DELUXE ROOM,Room Only,Refundable,152.64,EUR,Available,TN
2025-05-10,Address Istanbul,DOUBLE DELUXE ROOM,Room Only,Refundable,152.64,EUR,Available,TN
2025-05-11,Address Istanbul,DOUBLE DELUXE ROOM,Room Only,Refundable,152.64,EUR,Available,TN
2025-05-12,Address Istanbul,DOUBLE DELUXE ROOM,Room Only,Refundable,152.64,EUR,Available,TN
2025-05-13,Address Istanbul,DOUBLE DELUXE ROOM,Room Only,Refundable,152.64,EUR,Available,TN
2025-05-14,Address Istanbul,DOUBLE DELUXE ROOM,Room Only,Refundable,152.64,EUR,Available,TN
