Tarih,Otel Adı,Oda Tipi,Board Type,İptal Poliçesi,Fiyat,Para Birimi,Müsaitlik,Milliyet
2025-05-08,Address Istanbul,double king bed deluxe city view,Bed&Breakfast (Non-Alcoholic),Refundable,172.22,EUR,Available,TN
2025-05-09,Address Istanbul,double king bed deluxe city view,Bed&Breakfast (Non-Alcoholic),Refundable,172.22,EUR,Available,TN
2025-05-10,Address Istanbul,double king bed deluxe city view,Bed&Breakfast (Non-Alcoholic),Refundable,172.22,EUR,Available,TN
2025-05-11,Address Istanbul,double king bed deluxe city view,Bed&Breakfast (Non-Alcoholic),Refundable,172.22,EUR,Available,TN
2025-05-12,Address Istanbul,double king bed deluxe city view,Bed&Breakfast (Non-Alcoholic),Refundable,172.22,EUR,Available,TN
2025-05-13,Address Istanbul,double king bed deluxe city view,Bed&Breakfast (Non-Alcoholic),Refundable,172.22,EUR,Available,TN
2025-05-14,Address Istanbul,double king bed deluxe city view,Bed&Breakfast (Non-Alcoholic),Refundable,172.22,EUR,Available,TN
2025-05-08,Address Istanbul,DOUBLE DELUXE ROOM,Bed&Breakfast,Refundable,173.68,EUR,Available,TN
2025-05-09,Address Istanbul,DOUBLE DELUXE ROOM,Bed&Breakfast,Refundable,173.68,EUR,Available,TN
2025-05-10,Address Istanbul,DOUBLE DELUXE ROOM,Bed&Breakfast,Refundable,173.68,EUR,Available,TN
2025-05-11,Address Istanbul,DOUBLE DELUXE ROOM,Bed&Breakfast,Refundable,173.68,EUR,Available,TN
2025-05-12,Address Istanbul,DOUBLE DELUXE ROOM,Bed&Breakfast,Refundable,173.68,EUR,Available,TN
2025-05-13,Address Istanbul,DOUBLE DELUXE ROOM,Bed&Breakfast,Refundable,173.68,EUR,Available,TN
2025-05-14,Address Istanbul,DOUBLE DELUXE ROOM,Bed&Breakfast,Refundable,173.68,EUR,Available,TN
2025-05-08,Address Istanbul,Deluxe City View ,Bed&Breakfast,Non-refundable,178.27,EUR,Available,TN
2025-05-09,Address Istanbul,Deluxe City View ,Bed&Breakfast,Non-refundable,178.27,EUR,Available,TN
2025-05-10,Address Istanbul,Deluxe City View ,Bed&Breakfast,Non-refundable,178.27,EUR,Available,TN
2025-05-11,Address Istanbul,Deluxe City View ,Bed&Breakfast,Non-refundable,178.27,EUR,Available,TN
2025-05-12,Address Istanbul,Deluxe City View ,Bed&Breakfast,Non-refundable,178.27,EUR,Available,TN
2025-05-13,Address Istanbul,Deluxe City View ,Bed&Breakfast,Non-refundable,178.27,EUR,Available,TN
2025-05-14,Address Istanbul,Deluxe City View ,Bed&Breakfast,Non-refundable,178.27,EUR,Available,TN
2025-05-08,Address Istanbul,Deluxe Room King - Twin ,Bed&Breakfast (Non-Alcoholic),Non-refundable,179.13,EUR,Available,TN
2025-05-09,Address Istanbul,Deluxe Room King - Twin ,Bed&Breakfast (Non-Alcoholic),Non-refundable,179.13,EUR,Available,TN
2025-05-10,Address Istanbul,Deluxe Room King - Twin ,Bed&Breakfast (Non-Alcoholic),Non-refundable,179.13,EUR,Available,TN
2025-05-11,Address Istanbul,Deluxe Room King - Twin ,Bed&Breakfast (Non-Alcoholic),Non-refundable,179.13,EUR,Available,TN
2025-05-12,Address Istanbul,Deluxe Room King - Twin ,Bed&Breakfast (Non-Alcoholic),Non-refundable,179.13,EUR,Available,TN
2025-05-13,Address Istanbul,Deluxe Room King - Twin ,Bed&Breakfast (Non-Alcoholic),Non-refundable,179.13,EUR,Available,TN
2025-05-14,Address Istanbul,Deluxe Room King - Twin ,Bed&Breakfast (Non-Alcoholic),Non-refundable,179.13,EUR,Available,TN
2025-05-08,Address Istanbul,DELUXE CITY VIEW ROOM,Bed & Breakfast,Non-refundable,179.81,EUR,Available,TN
2025-05-09,Address Istanbul,DELUXE CITY VIEW ROOM,Bed & Breakfast,Non-refundable,179.81,EUR,Available,TN
2025-05-10,Address Istanbul,DELUXE CITY VIEW ROOM,Bed & Breakfast,Non-refundable,179.81,EUR,Available,TN
2025-05-11,Address Istanbul,DELUXE CITY VIEW ROOM,Bed & Breakfast,Non-refundable,179.81,EUR,Available,TN
2025-05-12,Address Istanbul,DELUXE CITY VIEW ROOM,Bed & Breakfast,Non-refundable,179.81,EUR,Available,TN
2025-05-13,Address Istanbul,DELUXE CITY VIEW ROOM,Bed & Breakfast,Non-refundable,179.81,EUR,Available,TN
2025-05-14,Address Istanbul,DELUXE CITY VIEW ROOM,Bed & Breakfast,Non-refundable,179.81,EUR,Available,TN
2025-05-08,Address Istanbul,Premier City View*,Sólo Alojamiento,Refundable,197.76,EUR,Available,TN
2025-05-09,Address Istanbul,Premier City View*,Sólo Alojamiento,Refundable,197.76,EUR,Available,TN
2025-05-10,Address Istanbul,Premier City View*,Sólo Alojamiento,Refundable,197.76,EUR,Available,TN
2025-05-11,Address Istanbul,Premier City View*,Sólo Alojamiento,Refundable,197.76,EUR,Available,TN
2025-05-12,Address Istanbul,Premier City View*,Sólo Alojamiento,Refundable,197.76,EUR,Available,TN
2025-05-13,Address Istanbul,Premier City View*,Sólo Alojamiento,Refundable,197.76,EUR,Available,TN
2025-05-14,Address Istanbul,Premier City View*,Sólo Alojamiento,Refundable,197.76,EUR,Available,TN
2025-05-08,Address Istanbul,Premier City View*,Bed and Breakfast,Refundable,200.16,EUR,Available,TN
2025-05-09,Address Istanbul,Premier City View*,Bed and Breakfast,Refundable,200.16,EUR,Available,TN
2025-05-10,Address Istanbul,Premier City View*,Bed and Breakfast,Refundable,200.16,EUR,Available,TN
2025-05-11,Address Istanbul,Premier City View*,Bed and Breakfast,Refundable,200.16,EUR,Available,TN
2025-05-12,Address Istanbul,Premier City View*,Bed and Breakfast,Refundable,200.16,EUR,Available,TN
2025-05-13,Address Istanbul,Premier City View*,Bed and Breakfast,Refundable,200.16,EUR,Available,TN
2025-05-14,Address Istanbul,Premier City View*,Bed and Breakfast,Refundable,200.16,EUR,Available,TN
2025-05-08,Address Istanbul,deluxe city view king,Bed and Breakfast,Non-refundable,201.8,EUR,Available,TN
2025-05-09,Address Istanbul,deluxe city view king,Bed and Breakfast,Non-refundable,201.8,EUR,Available,TN
2025-05-10,Address Istanbul,deluxe city view king,Bed and Breakfast,Non-refundable,201.8,EUR,Available,TN
2025-05-11,Address Istanbul,deluxe city view king,Bed and Breakfast,Non-refundable,201.8,EUR,Available,TN
2025-05-12,Address Istanbul,deluxe city view king,Bed and Breakfast,Non-refundable,201.8,EUR,Available,TN
2025-05-13,Address Istanbul,deluxe city view king,Bed and Breakfast,Non-refundable,201.8,EUR,Available,TN
2025-05-14,Address Istanbul,deluxe city view king,Bed and Breakfast,Non-refundable,201.8,EUR,Available,TN
2025-05-08,Address Istanbul,Premier City View Room Premier City View Room,Breakfast,Refundable,218.24,EUR,Available,TN
2025-05-09,Address Istanbul,Premier City View Room Premier City View Room,Breakfast,Refundable,218.24,EUR,Available,TN
2025-05-10,Address Istanbul,Premier City View Room Premier City View Room,Breakfast,Refundable,218.24,EUR,Available,TN
2025-05-11,Address Istanbul,Premier City View Room Premier City View Room,Breakfast,Refundable,218.24,EUR,Available,TN
2025-05-12,Address Istanbul,Premier City View Room Premier City View Room,Breakfast,Refundable,218.24,EUR,Available,TN
2025-05-13,Address Istanbul,Premier City View Room Premier City View Room,Breakfast,Refundable,218.24,EUR,Available,TN
2025-05-14,Address Istanbul,Premier City View Room Premier City View Room,Breakfast,Refundable,218.24,EUR,Available,TN
2025-05-08,Address Istanbul,Premier City View*,Alojamiento y Desayuno,Refundable,230.57,EUR,Available,TN
2025-05-09,Address Istanbul,Premier City View*,Alojamiento y Desayuno,Refundable,230.57,EUR,Available,TN
2025-05-10,Address Istanbul,Premier City View*,Alojamiento y Desayuno,Refundable,230.57,EUR,Available,TN
2025-05-11,Address Istanbul,Premier City View*,Alojamiento y Desayuno,Refundable,230.57,EUR,Available,TN
2025-05-12,Address Istanbul,Premier City View*,Alojamiento y Desayuno,Refundable,230.57,EUR,Available,TN
2025-05-13,Address Istanbul,Premier City View*,Alojamiento y Desayuno,Refundable,230.57,EUR,Available,TN
2025-05-14,Address Istanbul,Premier City View*,Alojamiento y Desayuno,Refundable,230.57,EUR,Available,TN
2025-05-08,Address Istanbul,"Deluxe 2 Beds, City View",Breakfast included,Non-refundable,231.71,EUR,Available,TN
2025-05-09,Address Istanbul,"Deluxe 2 Beds, City View",Breakfast included,Non-refundable,231.71,EUR,Available,TN
2025-05-10,Address Istanbul,"Deluxe 2 Beds, City View",Breakfast included,Non-refundable,231.71,EUR,Available,TN
2025-05-11,Address Istanbul,"Deluxe 2 Beds, City View",Breakfast included,Non-refundable,231.71,EUR,Available,TN
2025-05-12,Address Istanbul,"Deluxe 2 Beds, City View",Breakfast included,Non-refundable,231.71,EUR,Available,TN
2025-05-13,Address Istanbul,"Deluxe 2 Beds, City View",Breakfast included,Non-refundable,231.71,EUR,Available,TN
2025-05-14,Address Istanbul,"Deluxe 2 Beds, City View",Breakfast included,Non-refundable,231.71,EUR,Available,TN
2025-05-15,Address Istanbul,Double Deluxe City View,Room Only,Non-refundable,150.01,EUR,Available,TN
2025-05-16,Address Istanbul,Double Deluxe City View,Room Only,Non-refundable,150.01,EUR,Available,TN
2025-05-17,Address Istanbul,Double Deluxe City View,Room Only,Non-refundable,150.01,EUR,Available,TN
2025-05-18,Address Istanbul,Double Deluxe City View,Room Only,Non-refundable,150.01,EUR,Available,TN
2025-05-19,Address Istanbul,Double Deluxe City View,Room Only,Non-refundable,150.01,EUR,Available,TN
2025-05-20,Address Istanbul,Double Deluxe City View,Room Only,Non-refundable,150.01,EUR,Available,TN
2025-05-21,Address Istanbul,Double Deluxe City View,Room Only,Non-refundable,150.01,EUR,Available,TN
2025-05-15,Address Istanbul,DOUBLE DELUXE ROOM,Room Only,Refundable,152.64,EUR,Available,TN
2025-05-16,Address Istanbul,DOUBLE DELUXE ROOM,Room Only,Refundable,152.64,EUR,Available,TN
2025-05-17,Address Istanbul,DOUBLE DELUXE ROOM,Room Only,Refundable,152.64,EUR,Available,TN
2025-05-18,Address Istanbul,DOUBLE DELUXE ROOM,Room Only,Refundable,152.64,EUR,Available,TN
2025-05-19,Address Istanbul,DOUBLE DELUXE ROOM,Room Only,Refundable,152.64,EUR,Available,TN
2025-05-20,Address Istanbul,DOUBLE DELUXE ROOM,Room Only,Refundable,152.64,EUR,Available,TN
2025-05-21,Address Istanbul,DOUBLE DELUXE ROOM,Room Only,Refundable,152.64,EUR,Available,TN
2025-05-15,Address Istanbul,double king bed deluxe city view,Bed&Breakfast (Non-Alcoholic),Refundable,172.07,EUR,Available,TN
2025-05-16,Address Istanbul,double king bed deluxe city view,Bed&Breakfast (Non-Alcoholic),Refundable,172.07,EUR,Available,TN
2025-05-17,Address Istanbul,double king bed deluxe city view,Bed&Breakfast (Non-Alcoholic),Refundable,172.07,EUR,Available,TN
2025-05-18,Address Istanbul,double king bed deluxe city view,Bed&Breakfast (Non-Alcoholic),Refundable,172.07,EUR,Available,TN
2025-05-19,Address Istanbul,double king bed deluxe city view,Bed&Breakfast (Non-Alcoholic),Refundable,172.07,EUR,Available,TN
2025-05-20,Address Istanbul,double king bed deluxe city view,Bed&Breakfast (Non-Alcoholic),Refundable,172.07,EUR,Available,TN
2025-05-21,Address Istanbul,double king bed deluxe city view,Bed&Breakfast (Non-Alcoholic),Refundable,172.07,EUR,Available,TN
2025-05-15,Address Istanbul,DOUBLE DELUXE ROOM,Bed&Breakfast,Refundable,173.68,EUR,Available,TN
2025-05-16,Address Istanbul,DOUBLE DELUXE ROOM,Bed&Breakfast,Refundable,173.68,EUR,Available,TN
2025-05-17,Address Istanbul,DOUBLE DELUXE ROOM,Bed&Breakfast,Refundable,173.68,EUR,Available,TN
2025-05-18,Address Istanbul,DOUBLE DELUXE ROOM,Bed&Breakfast,Refundable,173.68,EUR,Available,TN
2025-05-19,Address Istanbul,DOUBLE DELUXE ROOM,Bed&Breakfast,Refundable,173.68,EUR,Available,TN
2025-05-20,Address Istanbul,DOUBLE DELUXE ROOM,Bed&Breakfast,Refundable,173.68,EUR,Available,TN
2025-05-21,Address Istanbul,DOUBLE DELUXE ROOM,Bed&Breakfast,Refundable,173.68,EUR,Available,TN
2025-05-15,Address Istanbul,Deluxe City View ,Bed&Breakfast,Non-refundable,178.27,EUR,Available,TN
2025-05-16,Address Istanbul,Deluxe City View ,Bed&Breakfast,Non-refundable,178.27,EUR,Available,TN
2025-05-17,Address Istanbul,Deluxe City View ,Bed&Breakfast,Non-refundable,178.27,EUR,Available,TN
2025-05-18,Address Istanbul,Deluxe City View ,Bed&Breakfast,Non-refundable,178.27,EUR,Available,TN
2025-05-19,Address Istanbul,Deluxe City View ,Bed&Breakfast,Non-refundable,178.27,EUR,Available,TN
2025-05-20,Address Istanbul,Deluxe City View ,Bed&Breakfast,Non-refundable,178.27,EUR,Available,TN
2025-05-21,Address Istanbul,Deluxe City View ,Bed&Breakfast,Non-refundable,178.27,EUR,Available,TN
2025-05-15,Address Istanbul,Deluxe Room King - Twin ,Bed&Breakfast (Non-Alcoholic),Non-refundable,178.96,EUR,Available,TN
2025-05-16,Address Istanbul,Deluxe Room King - Twin ,Bed&Breakfast (Non-Alcoholic),Non-refundable,178.96,EUR,Available,TN
2025-05-17,Address Istanbul,Deluxe Room King - Twin ,Bed&Breakfast (Non-Alcoholic),Non-refundable,178.96,EUR,Available,TN
2025-05-18,Address Istanbul,Deluxe Room King - Twin ,Bed&Breakfast (Non-Alcoholic),Non-refundable,178.96,EUR,Available,TN
2025-05-19,Address Istanbul,Deluxe Room King - Twin ,Bed&Breakfast (Non-Alcoholic),Non-refundable,178.96,EUR,Available,TN
2025-05-20,Address Istanbul,Deluxe Room King - Twin ,Bed&Breakfast (Non-Alcoholic),Non-refundable,178.96,EUR,Available,TN
2025-05-21,Address Istanbul,Deluxe Room King - Twin ,Bed&Breakfast (Non-Alcoholic),Non-refundable,178.96,EUR,Available,TN
2025-05-15,Address Istanbul,DELUXE CITY VIEW ROOM,Bed & Breakfast,Non-refundable,179.81,EUR,Available,TN
2025-05-16,Address Istanbul,DELUXE CITY VIEW ROOM,Bed & Breakfast,Non-refundable,179.81,EUR,Available,TN
2025-05-17,Address Istanbul,DELUXE CITY VIEW ROOM,Bed & Breakfast,Non-refundable,179.81,EUR,Available,TN
2025-05-18,Address Istanbul,DELUXE CITY VIEW ROOM,Bed & Breakfast,Non-refundable,179.81,EUR,Available,TN
2025-05-19,Address Istanbul,DELUXE CITY VIEW ROOM,Bed & Breakfast,Non-refundable,179.81,EUR,Available,TN
2025-05-20,Address Istanbul,DELUXE CITY VIEW ROOM,Bed & Breakfast,Non-refundable,179.81,EUR,Available,TN
2025-05-21,Address Istanbul,DELUXE CITY VIEW ROOM,Bed & Breakfast,Non-refundable,179.81,EUR,Available,TN
2025-05-15,Address Istanbul,Premier City View*,Bed and Breakfast,Refundable,200.16,EUR,Available,TN
2025-05-16,Address Istanbul,Premier City View*,Bed and Breakfast,Refundable,200.16,EUR,Available,TN
2025-05-17,Address Istanbul,Premier City View*,Bed and Breakfast,Refundable,200.16,EUR,Available,TN
2025-05-18,Address Istanbul,Premier City View*,Bed and Breakfast,Refundable,200.16,EUR,Available,TN
